INFO      ::     INPUT       Input schedule: []
INFO      ::     SYSTEM      Starting execution
DEBUG     ::     SYSTEM      Initial state: ControlUnit: time=0, instructions executed=0, interruption = False
DEBUG     ::     SYSTEM      Instructions memory: {0: PUSH $3 - 1413, 1: DUPLICATE - 33, 2: READ - 123, 3: DUPLICATE - 33, 4: PUSH 0 - 1420, 5: COMPARE - 23, 6: JEQ $11 - 181b, 7: JUMP $8 - 1518, 8: SAVE $1 - 1311, 9: INC - 93, 10: JUMP $1 - 1511, 11: HALT - 203}
DEBUG     ::     SYSTEM      Data memory: {0: InputManager, 1: OutputManager, 2: 18, 3: 72, 4: 101, 5: 108, 6: 108, 7: 111, 8: 44, 9: 32, 10: 87, 11: 111, 12: 114, 13: 108, 14: 100, 15: 33, 16: 10, 17: 0, 18: None, 19: None, 20: None, 21: None, 22: None, 23: None, 24: None, 25: None, 26: None, 27: None, 28: None, 29: None, 30: None, 31: None, 32: None, 33: None, 34: None, 35: None, 36: None, 37: None, 38: None, 39: None, 40: None, 41: None, 42: None, 43: None, 44: None, 45: None, 46: None, 47: None, 48: None, 49: None, 50: None, 51: None, 52: None, 53: None, 54: None, 55: None, 56: None, 57: None, 58: None, 59: None, 60: None, 61: None, 62: None, 63: None, 64: None, 65: None, 66: None, 67: None, 68: None, 69: None, 70: None, 71: None, 72: None, 73: None, 74: None, 75: None, 76: None, 77: None, 78: None, 79: None, 80: None, 81: None, 82: None, 83: None, 84: None, 85: None, 86: None, 87: None, 88: None, 89: None, 90: None, 91: None, 92: None, 93: None, 94: None, 95: None, 96: None, 97: None, 98: None, 99: None, 100: None, 101: None, 102: None, 103: None, 104: None, 105: None, 106: None, 107: None, 108: None, 109: None, 110: None, 111: None, 112: None, 113: None, 114: None, 115: None, 116: None, 117: None, 118: None, 119: None, 120: None, 121: None, 122: None, 123: None, 124: None, 125: None, 126: None, 127: None, 128: None, 129: None, 130: None, 131: None, 132: None, 133: None, 134: None, 135: None, 136: None, 137: None, 138: None, 139: None, 140: None, 141: None, 142: None, 143: None, 144: None, 145: None}
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: []
DEBUG     ::     SYSTEM      ControlUnit: time=2, instructions executed=0, interruption = False
INFO      ::     INSTR       Processing PUSH ADDRESS 3
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3]
DEBUG     ::     SYSTEM      ControlUnit: time=7, instructions executed=1, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 3]
DEBUG     ::     SYSTEM      ControlUnit: time=13, instructions executed=2, interruption = False
INFO      ::     INSTR       Processing READ
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 72]
DEBUG     ::     SYSTEM      ControlUnit: time=20, instructions executed=3, interruption = False
INFO      ::     INSTR       Processing DUPLICATE
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 72, 72]
DEBUG     ::     SYSTEM      ControlUnit: time=26, instructions executed=4, interruption = False
INFO      ::     INSTR       Processing PUSH VALUE 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 72, 72, 0]
DEBUG     ::     SYSTEM      ControlUnit: time=31, instructions executed=5, interruption = False
INFO      ::     INSTR       Processing COMPARE
DEBUG     ::     ALU         Comparing 72 and 0
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 72]
DEBUG     ::     SYSTEM      ControlUnit: time=38, instructions executed=6, interruption = False
INFO      ::     INSTR       Processing JEQ ADDRESS 11
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 72]
DEBUG     ::     SYSTEM      ControlUnit: time=43, instructions executed=7, interruption = False
INFO      ::     INSTR       Processing JUMP ADDRESS 8
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3, 72]
DEBUG     ::     SYSTEM      ControlUnit: time=47, instructions executed=8, interruption = False
INFO      ::     INSTR       Processing SAVE ADDRESS 1
DEBUG     ::     INTER       Have 0 interruptions
DEBUG     ::     SYSTEM      Data stack: [3]
